aggregation,seed,method,operation_group,seeds,cases,base_events,unique_top1_cases,top_tie_cases,unique_top1,mrr,tie_rate,unique_top1_std,mrr_std,tie_rate_std,method_code
per_seed,42,field_aware,ALL,1,800,100,646,5,0.8075,0.8872291666666666,0.00625,,,,M4
per_seed,43,field_aware,ALL,1,800,100,629,8,0.78625,0.8719652777777778,0.01,,,,M4
per_seed,44,field_aware,ALL,1,800,100,640,11,0.8,0.8853958333333334,0.01375,,,,M4
per_seed,45,field_aware,ALL,1,800,100,631,10,0.78875,0.8845833333333333,0.0125,,,,M4
per_seed,46,field_aware,ALL,1,800,100,646,15,0.8075,0.8960208333333334,0.01875,,,,M4
pooled_cases,,field_aware,ALL,5,4000,500,3192,49,0.798,0.8850388888888889,0.01225,,,,M4
seed_mean,,field_aware,ALL,5,4000,500,3192,49,0.798,0.8850388888888889,0.01225,0.01010105192541847,0.008611832967055817,0.004626688880830437,M4
per_seed,42,field_aware,bank_fee,1,128,16,50,0,0.390625,0.6178385416666666,0,,,,M4
per_seed,43,field_aware,bank_fee,1,136,17,34,1,0.25,0.5076388888888889,0.007352941176470588,,,,M4
per_seed,44,field_aware,bank_fee,1,136,17,58,2,0.4264705882352941,0.6460784313725491,0.014705882352941176,,,,M4
per_seed,45,field_aware,bank_fee,1,136,17,40,0,0.29411764705882354,0.5943627450980392,0,,,,M4
per_seed,46,field_aware,bank_fee,1,136,17,55,5,0.40441176470588236,0.6705882352941176,0.03676470588235294,,,,M4
pooled_cases,,field_aware,bank_fee,5,672,84,237,8,0.35267857142857145,0.607175925925926,0.011904761904761904,,,,M4
seed_mean,,field_aware,bank_fee,5,672,84,237,8,0.353125,0.6073013684640522,0.011764705882352941,0.07670200596089782,0.06268958834957213,0.01524738334803509,M4
per_seed,42,field_aware,card_payment,1,136,17,82,5,0.6029411764705882,0.7784313725490196,0.03676470588235294,,,,M4
per_seed,43,field_aware,card_payment,1,136,17,88,7,0.6470588235294118,0.8188725490196078,0.051470588235294115,,,,M4
per_seed,44,field_aware,card_payment,1,136,17,74,9,0.5441176470588235,0.7582107843137255,0.0661764705882353,,,,M4
per_seed,45,field_aware,card_payment,1,136,17,82,9,0.6029411764705882,0.8014705882352942,0.0661764705882353,,,,M4
per_seed,46,field_aware,card_payment,1,128,16,75,10,0.5859375,0.7821614583333333,0.078125,,,,M4
pooled_cases,,field_aware,card_payment,5,672,84,401,40,0.5967261904761905,0.7878968253968254,0.05952380952380952,,,,M4
seed_mean,,field_aware,card_payment,5,672,84,401,40,0.5965992647058823,0.7878293504901961,0.05974264705882353,0.0370627851888641,0.023170401352746325,0.015946095195677825,M4
per_seed,42,field_aware,customer_receipt,1,136,17,130,0,0.9558823529411765,0.9767156862745098,0,,,,M4
per_seed,43,field_aware,customer_receipt,1,136,17,125,0,0.9191176470588235,0.9595588235294118,0,,,,M4
per_seed,44,field_aware,customer_receipt,1,128,16,123,0,0.9609375,0.98046875,0,,,,M4
per_seed,45,field_aware,customer_receipt,1,128,16,121,0,0.9453125,0.97265625,0,,,,M4
