aggregation,seed,method,seeds,pairs,true_average_rank_changed,unique_top1_changed,top_tie_count_changed,method_code
per_seed,42,normalized_exact,1,100,23,3,21,M0
per_seed,43,normalized_exact,1,100,18,0,16,M0
per_seed,44,normalized_exact,1,100,12,3,11,M0
per_seed,45,normalized_exact,1,100,19,1,17,M0
per_seed,46,normalized_exact,1,100,18,2,17,M0
per_seed,42,tolerant_deterministic,1,100,5,0,5,M1
per_seed,43,tolerant_deterministic,1,100,4,0,4,M1
per_seed,44,tolerant_deterministic,1,100,4,0,4,M1
per_seed,45,tolerant_deterministic,1,100,4,0,4,M1
per_seed,46,tolerant_deterministic,1,100,5,0,5,M1
per_seed,42,jaro_winkler_text,1,100,0,0,0,M2
per_seed,43,jaro_winkler_text,1,100,1,0,0,M2
per_seed,44,jaro_winkler_text,1,100,0,0,0,M2
per_seed,45,jaro_winkler_text,1,100,0,0,0,M2
per_seed,46,jaro_winkler_text,1,100,0,0,0,M2
per_seed,42,character_trigram_text,1,100,0,0,0,M3
per_seed,43,character_trigram_text,1,100,0,0,0,M3
per_seed,44,character_trigram_text,1,100,0,0,0,M3
per_seed,45,character_trigram_text,1,100,0,0,0,M3
per_seed,46,character_trigram_text,1,100,0,0,0,M3
per_seed,42,field_aware,1,100,0,0,0,M4
per_seed,43,field_aware,1,100,0,0,0,M4
per_seed,44,field_aware,1,100,0,0,0,M4
per_seed,45,field_aware,1,100,0,0,0,M4
per_seed,46,field_aware,1,100,0,0,0,M4
per_seed,42,field_aware_without_description,1,100,0,0,0,M4-D
per_seed,43,field_aware_without_description,1,100,1,0,1,M4-D
per_seed,44,field_aware_without_description,1,100,0,0,0,M4-D
per_seed,45,field_aware_without_description,1,100,0,0,0,M4-D
per_seed,46,field_aware_without_description,1,100,0,0,0,M4-D
pooled_pairs,,normalized_exact,5,500,90,9,82,M0
pooled_pairs,,tolerant_deterministic,5,500,22,0,22,M1
pooled_pairs,,jaro_winkler_text,5,500,1,0,0,M2
pooled_pairs,,character_trigram_text,5,500,0,0,0,M3
pooled_pairs,,field_aware,5,500,0,0,0,M4
pooled_pairs,,field_aware_without_description,5,500,1,0,1,M4-D
